State_UT,Admin_cap,Legis_cap,Judi_cap,Year,Former_cap
Andhra Pradesh,Visakhapatnam[3],Amaravati[3],Kurnool[3],1956,"Hyderabad[a](1956–2017)
Amaravati (2017-2020)"
Arunachal Pradesh,Itanagar,Itanagar,Guwahati,1987,—
Assam,Dispur,Dispur,Guwahati,1972,Shillong[b] (1950–1972)
Bihar,Patna,Patna,Patna,1950,—
Chhattisgarh,Raipur[c],Raipur,Bilaspur,2000,—
Goa,Panaji[d],Porvorim,Mumbai,1987,—
Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,1960,Ahmedabad (1960–1970)
Haryana,Chandigarh,Chandigarh,Chandigarh,1966,—
Himachal Pradesh,Shimla,Shimla         (Summer)Dharamsala (Winter)[6],Shimla,1971,—
Jharkhand,Ranchi,Ranchi,Ranchi,2000,—
Karnataka,Bengaluru,Bengaluru,Bengaluru,1956,—
Kerala,Thiruvananthapuram,Thiruvananthapuram,Ernakulam,1956,—
Madhya Pradesh,Bhopal,Bhopal,Jabalpur,1956,—
Maharashtra,Mumbai[e],"Mumbai (Summer)
Nagpur  (Winter)",Mumbai,1960,—
Manipur,Imphal,Imphal,Imphal,1972,—
Meghalaya,Shillong,Shillong,Shillong,1972,—
Mizoram,Aizawl,Aizawl,Guwahati,1987,—
Nagaland,Kohima,Kohima,Guwahati,1963,—
Odisha,Bhubaneswar,Bhubaneswar,Cuttack,1950,
Punjab,Chandigarh,Chandigarh,Chandigarh,1966,—
Rajasthan,Jaipur,Jaipur,Jodhpur,1950,—
Sikkim,Gangtok[f],Gangtok,Gangtok,1975,—
Tamil Nadu,Chennai[g],Chennai,Chennai,1956,—
Telangana,Hyderabad,Hyderabad,Hyderabad,2014,—
Tripura,Agartala,Agartala,Agartala,1972,—
Uttar Pradesh,Lucknow,Lucknow,Prayagraj,1950,—
Uttarakhand,"Gairsain   (summer)
Dehradun (winter)",Gairsain   (summer)[8]Dehradun (winter),Nainital,2000,—
West Bengal,Kolkata,Kolkata,Kolkata,1950,—
